IP source,IP destination,Length,Flag,Numéro ACK,Numéro WIN,Numéro seq,ICMP Request/Reply
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1079,512,887047860:887047980, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1117,512,1083782921:1083783041, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1117,512,1055260995:1055261115, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1117,512,1170111755:1170111875, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],192,512,1956050927:1956051047, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1117,512,1016109235:1016109355, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1117,512,1684776979:1684777099, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1117,512,503501716:503501836, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1117,512,1864451598:1864451718, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],883,512,289557681:289557801, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1163,512,138098778:138098898, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],29200,512,1203053650:1203053770, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],2828725184,512,2045943531:2045943651, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,155613128:155613248, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1,512,1854989337:1854989457, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],195,512,1464992055:1464992175, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],195,512,1763007414:1763007534, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1419,512,1769477762:1769477882, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],195,512,927510383:927510503, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],2837,512,262496618:262496738, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],195,512,1944187333:1944187453, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],4210,512,1368242046:1368242166, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],4210,512,1996469549:1996469669, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],4210,512,755440943:755441063, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],4210,512,2061395892:2061396012, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],288,512,1161699354:1161699474, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],451,512,628612553:628612673, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],451,512,126113657:126113777, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],877,512,545657814:545657934, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],4609,512,118227196:118227316, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,2052107445:2052107565, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,791895479:791895599, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1716341514:1716341634, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],6697,512,1585739250:1585739370, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1570200442:1570200562, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1478292369:1478292489, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],9533,512,178640618:178640738, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1503505816:1503505936, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1661422384:1661422504, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],11438,512,369358272:369358392, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,64354808:64354928, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,884510772:884510892, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],14274,512,1885396166:1885396286, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,817987225:817987345, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,2132864374:2132864494, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],17110,512,1242566005:1242566125, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1759567823:1759567943, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1151909946:1151910066, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],19946,512,1189070135:1189070255, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,651075127:651075247, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1947905188:1947905308, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],22782,512,581296706:581296826, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,66975375:66975495, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,253927097:253927217, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],25618,512,1897592815:1897592935, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,616917477:616917597, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1868567734:1868567854, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],28454,512,1986188842:1986188962, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1095894460:1095894580, 
